District,Soil Type,pH Level,Organic Matter (%),Nitrogen Content (kg/ha),Phosphorus Content (kg/ha),Potassium Content (kg/ha),pH Category,Fertility Status
Jaipur,Chalky (Calcareous),6.546096221061305,1.5698074946102492,27.931972332891775,29.43843828670095,42.78276562266879,0,0
Bhilwara,Nitrogenous,6.832259215450055,2.2430181447088184,22.26348005530817,25.413455269435367,37.64437674091061,0,0
Jodhpur,Sandy,7.453181905630415,2.662898323771095,23.56418215707875,13.014409074435044,37.08200336826997,0,0
Jaipur,Clay,8.019189425509659,1.240326962261579,15.839222009447155,17.744205707955008,42.758703999554605,1,1
Jaipur,Sandy,8.100130874869414,1.7684193189573003,27.942866964419988,25.76950367127873,30.6512915015229,1,1
Jodhpur,Chalky (Calcareous),7.305739612408495,2.095211944962529,32.24609360642517,17.450966534045588,40.17220505852921,0,2
Hanumangarh,Sandy,6.255836323293505,1.6708757938330758,32.26754356277234,15.088529828726603,40.29492110794799,0,0
Alwar,Clay,7.723436250401349,1.8287253995711172,30.85231885498285,15.186337173576938,38.966943601519766,1,0
Bhilwara,Nitrogenous,7.805108084794611,2.078486480484217,27.067343652180323,21.121082021453965,43.57304895318309,1,0
Udaipur,Black lava soil,6.475029360711261,2.579537032477949,28.31872630659464,22.12744966620115,45.98623461822614,0,0
Udaipur,Loamy,6.814163151384767,1.6452794987862267,28.557256520621475,16.081232394377857,48.67468287918404,0,0
Udaipur,Loamy,7.071613953086604,1.7222266102565666,31.021945158014884,13.989252369619557,38.02159644121868,0,0
Ajmer,Loamy,7.658726630625088,1.8335697978087444,29.53306570550026,17.353339437758144,32.427648454096165,1,1
Alwar,Black lava soil,7.660796605669619,2.8774665358236207,30.09200815391719,21.126320586237743,43.4636137755843,1,0
Nagaur,Sandy,6.8653347517266505,2.851257329064803,31.01164398211401,28.159284495445544,36.334835022380055,0,2
Udaipur,Loamy,8.409030961278912,2.387577747017392,32.76520042926179,21.17012227176574,38.75735690962775,1,0
Jodhpur,Sandy,8.100265829236935,2.0701799349240235,20.16465148206424,14.414067691464988,39.07077123903626,1,1
Bhilwara,Black lava soil,7.654999491582777,1.971705755550052,36.09485394896832,10.244490679806876,40.7179396825258,1,1
Kota,Sandy,6.591010387306422,2.379856147742084,29.527706427789987,22.09804986012059,35.68058519705117,0,2
Nagaur,Saline,8.139732465828876,2.520862332029425,32.91772151505944,19.3524137656828,42.89928642647566,1,0
Hanumangarh,Clay,7.146553716006325,2.4277778295103563,38.2474044716196,25.35305279989593,36.35198765096296,0,2
Ajmer,Loamy,7.680708658636552,1.353429228120676,32.86195155587838,22.253017064312694,30.65091830233918,1,1
Bhilwara,Nitrogenous,6.919108078043818,1.8584305516281163,28.495701264295867,13.952615322905974,41.94489364676092,0,0
Hanumangarh,Black lava soil,7.625736804470256,1.9028654340107405,26.221042499208185,25.243535632082818,48.27703556544148,1,0
Ajmer,Sandy,7.258219258076731,1.6939165414225896,32.45603832705998,18.209853101265068,39.30301399668383,0,0
Udaipur,Sandy,7.869826575862335,1.0453219562463536,36.59151162426335,20.363402621646703,37.9425342771891,1,0
Udaipur,Sandy,7.455382922889275,1.9812146775102597,21.34399348277537,27.47469113726618,40.206628161353095,0,0
Udaipur,Nitrogenous,7.721501065223688,2.4757748852870214,24.894187712198494,22.367359495176142,38.661794545506034,1,0
Ajmer,Nitrogenous,7.9233853876082465,0.9363862898242524,29.50452849879365,16.98589672108019,42.16131475317078,1,0
Alwar,Saline,7.735022093684101,1.646187052588987,26.43913067911978,19.446673157213358,35.51678886342396,1,0
Udaipur,Black lava soil,7.920991847726063,1.815396399776277,15.465058903391792,18.12588971689097,34.80728089578014,1,1
Bhilwara,Saline,6.684362092269527,1.3812866808887136,30.54704235916485,26.64320414124116,41.5659223693249,0,0
Alwar,Clay,7.19674830589213,2.2279520975853515,27.70454844890504,16.526998154184277,34.22818665883508,0,0
Nagaur,Chalky (Calcareous),6.62408559662414,1.8050381467202772,30.79026744960066,19.51688164992555,37.920165360263205,0,0
Kota,Sandy,7.02712696965161,2.3041230958424843,23.41434040026708,23.880139569217377,34.98891490536638,0,0
Kota,Nitrogenous,7.123782381323482,1.2666074046921616,27.49298926557181,24.87656229238989,42.57814044221978,0,0
Jodhpur,Clay,7.9892110560140175,2.261071272966968,24.481650857348157,18.346053878362213,36.099004354412685,1,0
Hanumangarh,Nitrogenous,8.16528745201952,1.4016056767868443,34.46848844694556,24.464769350543847,49.14810100858044,1,0
Kota,Nitrogenous,7.295156703685251,2.356161079790081,41.40825918269421,16.911791615331516,32.324798762338204,0,0
Jodhpur,Nitrogenous,6.559994983046118,2.356356014430665,20.58424895970708,18.138404735310385,42.18656593519481,0,0
Hanumangarh,Chalky (Calcareous),7.592587768414957,2.212722432092086,31.11144927900427,26.394329066566968,35.23841809630601,1,0
Ajmer,Chalky (Calcareous),7.161502430770734,1.613670277364588,34.15095905931305,24.50199294197532,42.25612659659254,0,0
Kota,Saline,8.091746833444963,1.4109795663118097,38.336120557755685,27.61619310856129,43.67810998622873,1,0
Jodhpur,Black lava soil,8.39089945438553,1.171688396161113,27.377759318686746,16.32348269659024,43.60739661878672,1,0
Jaipur,Alkaline,6.974929630198927,2.3787475746687425,36.85268071998357,23.47601450042,41.41875511830751,0,2
Udaipur,Black lava soil,7.006063329549625,1.5765745169373178,36.248094526483335,23.896745019526666,39.80490240311228,0,0
Sri Ganganagar,Chalky (Calcareous),7.2910452271170545,0.9870960634443116,24.645737906577807,29.557095435698617,33.597722144987664,0,1
Sri Ganganagar,Nitrogenous,7.59473991061054,2.5037219865975997,23.725386659988537,20.923552373905416,44.68957768755328,1,0
Jodhpur,Alkaline,7.506249660953626,3.434201527833384,21.65700370560902,25.2936426494194,39.13599131301768,1,0
